matchID,matchDateTimeUTC,teamID,teamName,opponentID,goalsFor,goalsAgainst,isHome,goalDifference,matchOutcome,matchYear,matchMonth,isWeekend,scoringCategory,matchType,totalGoals,goallessDraw,matchIntensity,isBlowout,points
5294,2009-08-22 15:30:00,16,VfB Stuttgart,7,0,1,False,-1,loss,2009,8,True,low,away,1,False,normal,False,0
5296,2009-08-23 17:30:00,87,Borussia Mönchengladbach,134,0,3,False,-3,loss,2009,8,True,normal,away,3,False,normal,True,0
5298,2009-08-23 15:30:00,54,Hertha BSC,129,0,1,False,-1,loss,2009,8,True,low,away,1,False,normal,False,0
5299,2009-08-22 15:30:00,6,Bayer Leverkusen,112,3,0,False,3,win,2009,8,True,normal,away,3,False,normal,True,3
5300,2009-08-22 15:30:00,40,FC Bayern München,81,0,2,False,-2,loss,2009,8,True,normal,away,2,False,normal,False,0
5301,2009-08-22 15:30:00,55,Hannover 96,79,1,0,False,1,win,2009,8,True,low,away,1,False,normal,False,3
5302,2009-08-29 18:30:00,131,VfL Wolfsburg,40,0,1,False,-1,loss,2009,8,True,low,away,1,False,normal,False,0
5304,2009-08-30 15:30:00,134,Werder Bremen,54,1,0,False,1,win,2009,8,True,low,away,1,False,normal,False,3
5305,2009-08-30 17:30:00,65,1. FC Köln,100,1,3,False,-2,loss,2009,8,True,normal,away,4,False,normal,False,0
5306,2009-08-29 15:30:00,112,SC Freiburg,9,1,0,False,1,win,2009,8,True,low,away,1,False,normal,False,3
5307,2009-08-29 15:30:00,129,VfL Bochum,6,1,2,False,-1,loss,2009,8,True,normal,away,3,False,normal,False,0
5308,2009-08-29 15:30:00,175,TSG 1899 Hoffenheim,55,1,0,False,1,win,2009,8,True,low,away,1,False,normal,False,3
5309,2009-08-29 15:30:00,7,Borussia Dortmund,91,1,1,False,0,draw,2009,8,True,normal,away,2,False,normal,False,1
5310,2009-08-28 20:30:00,81,1. FSV Mainz 05,87,0,1,False,-1,loss,2009,8,False,low,away,1,False,normal,False,0
5311,2009-09-12 15:30:00,6,Bayer Leverkusen,131,2,0,False,2,win,2009,9,True,normal,away,2,False,normal,False,3
5312,2009-09-12 18:30:00,16,VfB Stuttgart,100,1,3,False,-2,loss,2009,9,True,normal,away,4,False,normal,False,0
5313,2009-09-12 15:30:00,40,FC Bayern München,7,3,1,False,2,win,2009,9,True,normal,away,4,False,normal,False,3
5314,2009-09-12 15:30:00,129,VfL Bochum,175,0,3,False,-3,loss,2009,9,True,normal,away,3,False,normal,True,0
5316,2009-09-13 17:30:00,9,FC Schalke 04,65,1,1,False,0,draw,2009,9,True,normal,away,2,False,normal,False,1
5317,2009-09-12 15:30:00,91,Eintracht Frankfurt,112,2,0,False,2,win,2009,9,True,normal,away,2,False,normal,False,3
5318,2009-09-12 15:30:00,54,Hertha BSC,81,1,0,False,1,win,2009,9,True,low,away,1,False,normal,False,3
5319,2009-09-12 15:30:00,87,Borussia Mönchengladbach,79,0,1,False,-1,loss,2009,9,True,low,away,1,False,normal,False,0
5320,2009-09-19 15:30:00,79,1. FC Nürnberg,40,1,2,False,-1,loss,2009,9,True,normal,away,3,False,normal,False,0
5321,2009-09-19 15:30:00,65,1. FC Köln,16,1,0,False,1,win,2009,9,True,low,away,1,False,normal,False,3
5322,2009-09-20 17:30:00,112,SC Freiburg,54,1,0,False,1,win,2009,9,True,low,away,1,False,normal,False,3
5323,2009-09-18 20:30:00,131,VfL Wolfsburg,9,1,0,False,1,win,2009,9,False,low,away,1,False,normal,False,3
5325,2009-09-19 15:30:00,7,Borussia Dortmund,55,1,0,False,1,win,2009,9,True,low,away,1,False,normal,False,3
5326,2009-09-20 15:30:00,100,Hamburger SV,91,1,0,False,1,win,2009,9,True,low,away,1,False,normal,False,3
5327,2009-09-19 15:30:00,81,1. FSV Mainz 05,129,1,2,False,-1,loss,2009,9,True,normal,away,3,False,normal,False,0
5328,2009-09-19 15:30:00,175,TSG 1899 Hoffenheim,87,1,2,False,-1,loss,2009,9,True,normal,away,3,False,normal,False,0
5329,2009-09-26 15:30:00,55,Hannover 96,131,2,4,False,-2,loss,2009,9,True,high,away,6,False,high_away,False,0
5330,2009-09-26 18:30:00,40,FC Bayern München,100,0,1,False,-1,loss,2009,9,True,low,away,1,False,normal,False,0
5331,2009-09-26 15:30:00,9,FC Schalke 04,7,1,0,False,1,win,2009,9,True,low,away,1,False,normal,False,3
5332,2009-09-27 17:30:00,54,Hertha BSC,175,1,3,False,-2,loss,2009,9,True,normal,away,4,False,normal,False,0
5333,2009-09-26 15:30:00,81,1. FSV Mainz 05,134,0,1,False,-1,loss,2009,9,True,low,away,1,False,normal,False,0
5334,2009-09-26 15:30:00,6,Bayer Leverkusen,65,1,0,False,1,win,2009,9,True,low,away,1,False,normal,False,3
5335,2009-09-26 15:30:00,16,VfB Stuttgart,91,3,0,False,3,win,2009,9,True,normal,away,3,False,normal,True,3
5336,2009-09-27 15:30:00,87,Borussia Mönchengladbach,112,0,1,False,-1,loss,2009,9,True,low,away,1,False,normal,False,0
5337,2009-09-25 20:30:00,129,VfL Bochum,79,1,0,False,1,win,2009,9,False,low,away,1,False,normal,False,3
5339,2009-10-04 15:30:00,134,Werder Bremen,16,1,0,False,1,win,2009,10,True,low,away,1,False,normal,False,3
5340,2009-10-04 17:30:00,100,Hamburger SV,54,3,1,False,2,win,2009,10,True,normal,away,4,False,normal,False,3
5341,2009-10-02 20:30:00,91,Eintracht Frankfurt,9,0,1,False,-1,loss,2009,10,False,low,away,1,False,normal,False,0
5342,2009-10-03 15:30:00,79,1. FC Nürnberg,6,0,1,False,-1,loss,2009,10,True,low,away,1,False,normal,False,0
5343,2009-10-03 15:30:00,112,SC Freiburg,55,1,2,False,-1,loss,2009,10,True,normal,away,3,False,normal,False,0
5344,2009-10-03 15:30:00,131,VfL Wolfsburg,129,0,1,False,-1,loss,2009,10,True,low,away,1,False,normal,False,0
5345,2009-10-03 18:30:00,7,Borussia Dortmund,87,1,0,False,1,win,2009,10,True,low,away,1,False,normal,False,3
5346,2009-10-03 15:30:00,175,TSG 1899 Hoffenheim,81,0,1,False,-1,loss,2009,10,True,low,away,1,False,normal,False,0
5379,2009-10-18 15:30:00,87,Borussia Mönchengladbach,131,0,1,False,-1,loss,2009,10,True,low,away,1,False,normal,False,0
5380,2009-10-17 15:30:00,9,FC Schalke 04,16,2,1,False,1,win,2009,10,True,normal,away,3,False,normal,False,3
5382,2009-10-18 17:30:00,129,VfL Bochum,7,0,1,False,-1,loss,2009,10,True,low,away,1,False,normal,False,0
5383,2009-10-17 15:30:00,175,TSG 1899 Hoffenheim,134,0,1,False,-1,loss,2009,10,True,low,away,1,False,normal,False,0
5384,2009-10-17 15:30:00,81,1. FSV Mainz 05,65,0,1,False,-1,loss,2009,10,True,low,away,1,False,normal,False,0
5385,2009-10-17 15:30:00,55,Hannover 96,91,0,1,False,-1,loss,2009,10,True,low,away,1,False,normal,False,0
5386,2009-10-17 15:30:00,40,FC Bayern München,112,1,0,False,1,win,2009,10,True,low,away,1,False,normal,False,3
5387,2009-10-17 15:30:00,54,Hertha BSC,79,0,3,False,-3,loss,2009,10,True,normal,away,3,False,normal,True,0
5388,2009-10-24 15:30:00,91,Eintracht Frankfurt,40,1,1,False,0,draw,2009,10,True,normal,away,2,False,normal,False,1
5390,2009-10-24 15:30:00,79,1. FC Nürnberg,175,0,2,False,-2,loss,2009,10,True,normal,away,2,False,normal,False,0
5391,2009-10-25 17:30:00,100,Hamburger SV,9,3,3,False,0,draw,2009,10,True,high,away,6,False,high_away,False,1
5392,2009-10-23 20:30:00,7,Borussia Dortmund,6,1,0,False,1,win,2009,10,False,low,away,1,False,normal,False,3
5393,2009-10-24 15:30:00,16,VfB Stuttgart,55,0,1,False,-1,loss,2009,10,True,low,away,1,False,normal,False,0
5394,2009-10-25 17:30:00,134,Werder Bremen,129,1,1,False,0,draw,2009,10,True,normal,away,2,False,normal,False,1
5396,2009-10-24 15:30:00,112,SC Freiburg,81,0,1,False,-1,loss,2009,10,True,low,away,1,False,normal,False,0
5397,2009-10-31 15:30:00,81,1. FSV Mainz 05,131,2,3,False,-1,loss,2009,10,True,high,away,5,False,high_away,False,0
5399,2009-10-31 15:30:00,87,Borussia Mönchengladbach,100,1,2,False,-1,loss,2009,10,True,normal,away,3,False,normal,False,0
5400,2009-10-30 20:30:00,54,Hertha BSC,7,0,1,False,-1,loss,2009,10,False,low,away,1,False,normal,False,0
5401,2009-10-31 18:30:00,6,Bayer Leverkusen,9,2,2,False,0,draw,2009,10,True,normal,away,4,False,normal,False,1
5402,2009-10-31 15:30:00,55,Hannover 96,65,1,0,False,1,win,2009,10,True,low,away,1,False,normal,False,3
5403,2009-11-01 17:30:00,129,VfL Bochum,91,0,1,False,-1,loss,2009,11,True,low,away,1,False,normal,False,0
5404,2009-11-01 15:30:00,175,TSG 1899 Hoffenheim,112,1,0,False,1,win,2009,11,True,low,away,1,False,normal,False,3
5405,2009-10-31 15:30:00,134,Werder Bremen,79,2,2,False,0,draw,2009,10,True,normal,away,4,False,normal,False,1
5406,2009-11-07 15:30:00,9,FC Schalke 04,40,1,1,False,0,draw,2009,11,True,normal,away,2,False,normal,False,1
5407,2009-11-08 17:30:00,65,1. FC Köln,54,1,0,False,1,win,2009,11,True,low,away,1,False,normal,False,3
5408,2009-11-07 15:30:00,131,VfL Wolfsburg,175,0,1,False,-1,loss,2009,11,True,low,away,1,False,normal,False,0
5409,2009-11-06 20:30:00,91,Eintracht Frankfurt,6,0,3,False,-3,loss,2009,11,False,normal,away,3,False,normal,True,0
5410,2009-11-08 17:30:00,7,Borussia Dortmund,134,1,1,False,0,draw,2009,11,True,normal,away,2,False,normal,False,1
5411,2009-11-08 15:30:00,100,Hamburger SV,55,1,1,False,0,draw,2009,11,True,normal,away,2,False,normal,False,1
5412,2009-11-07 15:30:00,112,SC Freiburg,129,1,1,False,0,draw,2009,11,True,normal,away,2,False,normal,False,1
5414,2009-11-07 15:30:00,79,1. FC Nürnberg,81,0,1,False,-1,loss,2009,11,True,low,away,1,False,normal,False,0
